schol_id,University,Major,Level,Language,Tuition Covered,Accomodation covered?,Living Expense Covered?,Tuition fees to pay,Original Tuition fee,Start_Month,Start_Year,Accomodation_To_Pay,Accomodation_duration,Expense_To_Pay,Expense_duration
3177,Southwest University of Science and Technology,Control Science and Engineering,Phd,Chinese,15000.0,1,1,0,15000.0,Sep,2019,0.0,YEAR,0.0,MONTH
3178,Southwest University of Science and Technology,Biology,Phd,Chinese,15000.0,1,1,0,15000.0,Sep,2019,0.0,YEAR,0.0,MONTH
3179,Southwest University of Science and Technology,Biology,Phd,English,15000.0,1,1,0,15000.0,Sep,2019,0.0,YEAR,0.0,MONTH
3180,Southwest University of Science and Technology,Material Science and Engneering,Phd,English,15000.0,1,1,0,15000.0,Sep,2019,0.0,YEAR,0.0,MONTH
3181,Southwest University of Science and Technology,Material Science and Engineering,Phd,Chinese,15000.0,1,1,0,15000.0,Sep,2019,0.0,YEAR,0.0,MONTH
3182,Southwest University of Science and Technology,Environmental Science and Engineering,Phd,Chinese,15000.0,1,1,0,15000.0,Sep,2019,0.0,YEAR,0.0,MONTH
3183,Southwest University of Science and Technology,Environmental Science and Engineering,Phd,English,15000.0,1,1,0,15000.0,Sep,2019,0.0,YEAR,0.0,MONTH
3184,Southwest University of Science and Technology,Control Science and Engineering,Phd,English,15000.0,1,1,0,15000.0,Sep,2019,0.0,YEAR,0.0,MONTH
3185,Shandong University,Pathology and Physiopathology,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3186,Shandong University,Physical Chemistry,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3187,Shandong University,Operations Research,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3188,Shandong University,Foreign Linguistics and Applied Linguistics,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3189,Shandong University,Social Medicine and Health Administration,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3190,Shandong University,Social Medicine and Health Management,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3191,Shandong University,Organic Chemistry,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3192,Shandong University,Occupational and Environmental Health,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3193,Shandong University,International Law,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3194,Shandong University,Inorganic Chemistry,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3195,Shandong University,Global Economics,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3196,Shandong University,Epidemiology and Health Statistics,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3197,Shandong University,English Language and Literature,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3198,Shandong University,Control Science and Engineering,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3199,Shandong University,Computational Mathematics,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3200,Shandong University,Botany,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3201,Shandong University,Biomedical Engineering,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3202,Shandong University,Pharmaceutics,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3203,Shandong University,Regional Economics,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3204,Shandong University,Polymer Chemistry and Physics,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3205,Shandong University,Environmental Science(School of Environmental Science and Engineering),Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3206,Shandong University,Electronic Science and Technology,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3207,Shandong University,Electrical Engineering,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3208,Shandong University,Condensed Matter Physics,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3209,Shandong University,Oncology,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3210,Shandong University,Analytical Chemistry,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3211,Shandong University,Finance(The Center for Economic Research),Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3212,Shandong University,Surgery (Neurosurgery),Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3213,Shandong University,Financial Mathematics,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3214,Shandong University,International Trade,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3215,Shandong University,Software Engineering,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3216,Shandong University,Gynecology,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3217,Shandong University,"Human Anatomy, Histology and Embryology",Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3218,Shandong University,Pharmacology,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3219,Shandong University,Analytical Chemistry,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3220,Shandong University,Mechanical Engineering,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3221,Shandong University,Medicinal Chemistry,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3222,Shandong University,Information and Communication Engineering,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3223,Shandong University,International Politics,Phd,Chinese,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3224,Shandong University,Archaeology,Phd,Chinese,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3225,Shandong University,World History,Phd,Chinese,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3226,Shandong University,Microbial and Biochemical Pharmacy,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3227,Shandong University,Optical Engineering,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3228,Shandong University,Industrial Economics,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3229,Shandong University,Materials Science and Engineering,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3230,Shandong University,International Politics,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3231,Shandong University,Finance(School of Economics),Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3232,Shandong University,Surgery (Plastic Surgery),Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3233,Shandong University,Political Economics,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3234,Shandong University,Western Economics,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3235,Shandong University,"Population, Resources and Environmental Economics",Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3236,Shandong University,Civil Engineering,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3237,Shandong University,Environmental Engineering,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3238,Shandong University,Quantitative Economics,Phd,English,25000.0,0,0,6000,31000.0,Sep,2019,810.0,MONTH,1500.0,MONTH
3239,Shandong University,Pathology and Physiopathology,Phd,English,,0,1,16200,,Sep,2019,810.0,MONTH,0.0,MONTH
3240,Shandong University,Physical Chemistry,Phd,English,,0,1,16200,,Sep,2019,810.0,MONTH,0.0,MONTH
3241,Shandong University,Operations Research,Phd,English,,0,1,16200,,Sep,2019,810.0,MONTH,0.0,MONTH
3242,Shandong University,Foreign Linguistics and Applied Linguistics,Phd,English,,0,1,16200,,Sep,2019,810.0,MONTH,0.0,MONTH
3243,Shandong University,Social Medicine and Health Administration,Phd,English,,0,1,16200,,Sep,2019,810.0,MONTH,0.0,MONTH
3244,Shandong University,Social Medicine and Health Management,Phd,English,,0,1,16200,,Sep,2019,810.0,MONTH,0.0,MONTH
3245,Shandong University,Inorganic Chemistry,Phd,English,,0,1,16200,,Sep,2019,810.0,MONTH,0.0,MONTH
